nohup: ignoring input
Controllable intersections: 12

============================================================
Training | mode=clean rate=0.0
============================================================
Controllable intersections: 12
  Episode  18/50 | reward=-5.647/step | travel_time=822.2s | loss=12.5867 | eps=0.050
  Episode  19/50 | reward=-6.006/step | travel_time=840.4s | loss=9.5450 | eps=0.050
  Episode  20/50 | reward=-6.967/step | travel_time=914.3s | loss=11.5241 | eps=0.050
  Episode  21/50 | reward=-6.295/step | travel_time=873.0s | loss=11.5374 | eps=0.050
  Episode  22/50 | reward=-4.934/step | travel_time=767.1s | loss=13.7416 | eps=0.050
  Episode  23/50 | reward=-6.561/step | travel_time=850.4s | loss=14.0734 | eps=0.050
  Episode  24/50 | reward=-5.587/step | travel_time=824.4s | loss=15.1374 | eps=0.050
  Episode  25/50 | reward=-5.445/step | travel_time=794.5s | loss=13.3758 | eps=0.050
  Episode  26/50 | reward=-5.825/step | travel_time=834.2s | loss=13.9773 | eps=0.050
  Episode  27/50 | reward=-5.890/step | travel_time=836.6s | loss=9.0252 | eps=0.050
  Episode  28/50 | reward=-5.575/step | travel_time=826.1s | loss=10.8781 | eps=0.050
  Episode  29/50 | reward=-5.734/step | travel_time=824.1s | loss=11.9815 | eps=0.050
  Episode  30/50 | reward=-5.296/step | travel_time=781.8s | loss=12.0958 | eps=0.050
  Episode  31/50 | reward=-5.763/step | travel_time=824.6s | loss=13.0460 | eps=0.050
  Episode  32/50 | reward=-5.960/step | travel_time=847.0s | loss=12.6505 | eps=0.050
  Episode  33/50 | reward=-6.234/step | travel_time=880.5s | loss=11.8814 | eps=0.050
  Episode  34/50 | reward=-5.832/step | travel_time=832.1s | loss=12.1186 | eps=0.050
  Episode  35/50 | reward=-5.670/step | travel_time=824.6s | loss=11.9841 | eps=0.050
  Episode  36/50 | reward=-5.946/step | travel_time=851.9s | loss=10.5574 | eps=0.050
  Episode  37/50 | reward=-6.192/step | travel_time=831.1s | loss=11.6105 | eps=0.050
  Episode  38/50 | reward=-6.083/step | travel_time=820.3s | loss=10.3028 | eps=0.050
  Episode  39/50 | reward=-6.042/step | travel_time=854.1s | loss=12.2647 | eps=0.050
  Episode  40/50 | reward=-5.955/step | travel_time=872.1s | loss=13.4755 | eps=0.050
  Episode  41/50 | reward=-5.404/step | travel_time=821.1s | loss=12.3652 | eps=0.050
  Episode  42/50 | reward=-6.119/step | travel_time=866.9s | loss=11.6877 | eps=0.050
  Episode  43/50 | reward=-5.490/step | travel_time=822.7s | loss=11.5392 | eps=0.050
  Episode  44/50 | reward=-5.769/step | travel_time=845.0s | loss=12.6786 | eps=0.050
  Episode  45/50 | reward=-5.993/step | travel_time=835.2s | loss=10.3813 | eps=0.050
  Episode  46/50 | reward=-5.703/step | travel_time=802.1s | loss=12.0392 | eps=0.050
  Episode  47/50 | reward=-6.276/step | travel_time=832.7s | loss=10.6754 | eps=0.050
  Episode  48/50 | reward=-6.165/step | travel_time=873.0s | loss=13.8905 | eps=0.050
  Episode  49/50 | reward=-6.430/step | travel_time=925.2s | loss=11.9496 | eps=0.050
  Episode  50/50 | reward=-5.852/step | travel_time=851.3s | loss=11.0596 | eps=0.050

Model saved to models/colight_node_mask.pt

============================================================
Training | mode=edge_drop rate=0.2
============================================================
Controllable intersections: 12
  Episode   1/50 | reward=-6.349/step | travel_time=901.4s | loss=9.7000 | eps=0.050
  Episode   2/50 | reward=-6.466/step | travel_time=926.7s | loss=20.5186 | eps=0.050
  Episode   3/50 | reward=-6.249/step | travel_time=866.2s | loss=17.1869 | eps=0.050
  Episode   4/50 | reward=-6.760/step | travel_time=921.8s | loss=17.0789 | eps=0.050
  Episode   5/50 | reward=-6.604/step | travel_time=908.7s | loss=17.2207 | eps=0.050
  Episode   6/50 | reward=-6.425/step | travel_time=908.5s | loss=17.5422 | eps=0.050
  Episode   7/50 | reward=-6.337/step | travel_time=894.8s | loss=16.4189 | eps=0.050
  Episode   8/50 | reward=-6.336/step | travel_time=904.0s | loss=20.7628 | eps=0.050
  Episode   9/50 | reward=-6.090/step | travel_time=847.5s | loss=19.5681 | eps=0.050
  Episode  10/50 | reward=-5.878/step | travel_time=847.7s | loss=16.1992 | eps=0.050
  Episode  11/50 | reward=-6.683/step | travel_time=914.4s | loss=17.0568 | eps=0.050
  Episode  12/50 | reward=-6.123/step | travel_time=851.6s | loss=16.1718 | eps=0.050
  Episode  13/50 | reward=-6.188/step | travel_time=873.4s | loss=18.8892 | eps=0.050
  Episode  14/50 | reward=-6.810/step | travel_time=909.9s | loss=17.2176 | eps=0.050
  Episode  15/50 | reward=-6.985/step | travel_time=935.7s | loss=18.5136 | eps=0.050
  Episode  16/50 | reward=-6.106/step | travel_time=838.5s | loss=20.6429 | eps=0.050
  Episode  17/50 | reward=-6.291/step | travel_time=922.0s | loss=17.9184 | eps=0.050
  Episode  18/50 | reward=-6.465/step | travel_time=918.8s | loss=15.4490 | eps=0.050
  Episode  19/50 | reward=-5.994/step | travel_time=879.9s | loss=14.9441 | eps=0.050
  Episode  20/50 | reward=-6.533/step | travel_time=926.7s | loss=19.4302 | eps=0.050
  Episode  21/50 | reward=-6.486/step | travel_time=910.8s | loss=16.0959 | eps=0.050
  Episode  22/50 | reward=-6.263/step | travel_time=893.0s | loss=14.5968 | eps=0.050
  Episode  23/50 | reward=-6.214/step | travel_time=870.9s | loss=14.4041 | eps=0.050
  Episode  24/50 | reward=-6.851/step | travel_time=939.0s | loss=16.1372 | eps=0.050
  Episode  25/50 | reward=-7.186/step | travel_time=944.3s | loss=16.6373 | eps=0.050
  Episode  26/50 | reward=-6.397/step | travel_time=869.6s | loss=17.7436 | eps=0.050
  Episode  27/50 | reward=-6.070/step | travel_time=815.0s | loss=19.5284 | eps=0.050
  Episode  28/50 | reward=-6.644/step | travel_time=898.7s | loss=17.3098 | eps=0.050
  Episode  29/50 | reward=-6.440/step | travel_time=880.3s | loss=19.4523 | eps=0.050
  Episode  30/50 | reward=-6.365/step | travel_time=883.2s | loss=16.0491 | eps=0.050
